0:0,0,0,0,0,0,0,0,0
1:0.5549019356877697,63.92167080084272,0.7032705236481283,0.616679541939937,0.5084562730710185,0.5130828697230274,0.5583787073261286,-0.00511368050957918,0.44195033437749476
2:0.06323148950006169,49.288377887116035,-0.04535795727782148,0.06006010307580599,0.11584888170707545,-0.7763847007823121,-0.014314007392134561,-0.1420148974794476,0.0038795057462325394
3:-0.47948534299131584,35.30482337108126,-0.5288666909458143,-0.4795904115846332,-0.4919063332360049,-0.5395596774308695,-0.47746308285759675,-0.5476235408426223,-0.491218294107166
4:-2.1285772747377867,21.29459359089801,-2.1128655645898116,-2.1257449017914163,-2.1339974561332262,-2.1538807537892777,-2.1224045393973894,-2.172409975520662,-2.1103956163787094
5:-1.3771592445105105,-0.6023508070153103,-1.3810919077963617,-1.3844000438625568,-1.3811925381573467,-1.382265701266565,-1.3783495241657655,-1.3763396991246384,-1.3774054603830947
6:-2.1120735933277586,-2.113887968828501,-2.1132471925394842,-2.1138653019545472,-2.114090332176912,-2.117652704120734,-2.11162942960113,-2.1111574032415885,-2.112150376955702
7:-2.382419781812693,-2.383239371067155,-2.3824750681671554,-2.384101824019078,-2.382407522241945,-2.391709959989061,-2.3810212772064876,-2.3817191443020924,-2.381587278520706
8:-3.27618467144095,-3.278407809347933,-3.2785299688519234,-3.2767291225883097,-3.276933479651868,-3.283047289127732,-3.277003832916687,-3.276892847889963,-3.2758371354187665
9:0.5500467881284449,0.6699748754654005,0.73531262625452,41.74736535639477,0.5993356519147898,-0.07167466564491802,0.38492865302132806,-0.6635747988600885,0.5153509822362062
10:0,0,0,0,0,0,0,0,0
11:0,0,0,0,0,0,0,0,0
12:0,0,0,0,0,0,0,0,0
13:-4.651523700081084,-4.639228259118386,-4.660281117296643,10.10908500768055,-4.641610946863315,-4.672642203273988,-4.633346909174967,-4.808734009005886,-4.649312679267228
14:0,0,0,0,0,0,0,0,0
15:0,0,0,0,0,0,0,0,0
16:0,0,0,0,0,0,0,0,0
17:-4.045553073587944,-4.0437471469073465,-4.044304948588684,-4.045222541791952,-4.048143600366314,-4.042649832969579,-4.044634339491758,-4.0434696302466975,-4.044202145242362
18:-0.13890251503381557,-0.12197543866927538,-0.11594755567253541,7.090388045628193,-0.12133235093589587,-0.26245045238995646,-0.11519838185095355,-0.9346459662184958,-0.1981879260377926
19:0,0,0,0,0,0,0,0,0
20:0,0,0,0,0,0,0,0,0
21:0,0,0,0,0,0,0,0,0
22:0,0,0,0,0,0,0,0,0
23:0,0,0,0,0,0,0,0,0
24:0,0,0,0,0,0,0,0,0
25:0,0,0,0,0,0,0,0,0
26:-3.4411599294190967,-3.442381407025694,-3.441716627450072,-3.4430351068510796,-3.445560927414931,-3.4426566979063415,-3.4414992355176794,-3.442795905969037,-3.4469524155221953
27:-0.4784276426370794,-0.4556780119905045,-0.45925946270206736,0.07344032992620202,-0.45669033262664005,-0.48485721422098366,-0.47260599125712827,-1.1369439212519064,-0.4611210275620636
28:0,0,0,0,0,0,0,0,0
29:0,0,0,0,0,0,0,0,0
30:0,0,0,0,0,0,0,0,0
31:0,0,0,0,0,0,0,0,0
32:0,0,0,0,0,0,0,0,0
33:0,0,0,0,0,0,0,0,0
34:0,0,0,0,0,0,0,0,0
35:0,0,0,0,0,0,0,0,0
36:-0.9941936019648033,-0.9970888685420023,-0.9949004697697554,-0.9946791376541441,-0.9959695611730065,-0.9952151915975042,-0.9940945019757051,-1.664925051728442,-0.9952439744669997
37:0,0,0,0,0,0,0,0,0
38:0,0,0,0,0,0,0,0,0
39:0,0,0,0,0,0,0,0,0
40:0,0,0,0,0,0,0,0,0
41:0,0,0,0,0,0,0,0,0
42:0,0,0,0,0,0,0,0,0
43:0,0,0,0,0,0,0,0,0
44:0,0,0,0,0,0,0,0,0
45:-1.553820675147332,-1.547596247145159,-1.5516933564786077,-1.5484976802670292,-1.551165548001428,-1.5481522537929864,-1.5545222341468057,-2.2131234099074124,-1.5532653757420778
46:0,0,0,0,0,0,0,0,0
47:0,0,0,0,0,0,0,0,0
48:0,0,0,0,0,0,0,0,0
49:0,0,0,0,0,0,0,0,0
50:0,0,0,0,0,0,0,0,0
51:0,0,0,0,0,0,0,0,0
52:0,0,0,0,0,0,0,0,0
53:0,0,0,0,0,0,0,0,0
54:-2.053290922156934,-2.055824387944286,-2.0566867289996598,-2.054898133653396,-2.057684391827682,-2.0544682307288546,-2.0587639843858225,-2.1001218169963187,-2.0531324739521484
55:0,0,0,0,0,0,0,0,0
56:0,0,0,0,0,0,0,0,0
57:0,0,0,0,0,0,0,0,0
58:0,0,0,0,0,0,0,0,0
59:0,0,0,0,0,0,0,0,0
60:0,0,0,0,0,0,0,0,0
61:0,0,0,0,0,0,0,0,0
62:0,0,0,0,0,0,0,0,0
63:-2.32153582126836,-2.329540551697451,-2.3276318391642623,-2.3276692108726396,-2.3229943257227155,-2.3203455077455026,-2.32104719481987,-2.3245177840165407,-2.3224686788359383
64:0,0,0,0,0,0,0,0,0
65:0,0,0,0,0,0,0,0,0
66:0,0,0,0,0,0,0,0,0
67:0,0,0,0,0,0,0,0,0
68:0,0,0,0,0,0,0,0,0
69:0,0,0,0,0,0,0,0,0
70:0,0,0,0,0,0,0,0,0
71:0,0,0,0,0,0,0,0,0
72:-2.097681259154622,-2.0991083018711043,-2.095658409765597,-2.099172289486996,-2.096384908727665,-2.0982020502030627,-2.101951757380422,-2.104134533484634,-2.0989507137934305
73:0,0,0,0,0,0,0,0,0
74:0,0,0,0,0,0,0,0,0
75:0,0,0,0,0,0,0,0,0
76:0,0,0,0,0,0,0,0,0
77:0,0,0,0,0,0,0,0,0
78:0,0,0,0,0,0,0,0,0
79:0,0,0,0,0,0,0,0,0
80:0,0,0,0,0,0,0,0,0
81:0.12875477133123475,0.21055655090701578,0.3503414501725467,0.31180243591914514,0.21365442038416171,-0.24351005601095613,0.22314292325492094,28.71986610806587,0.2490382449057704
82:0,0,0,0,0,0,0,0,0
83:1.3026463708707614,67.93584718172174,1.0880891420894407,1.3962084375122525,1.124130979946308,-0.9132462447170373,1.2604778789228996,0.22339563362412596,1.3877108616571048
84:0.09271896928619086,50.96131959140268,0.09793254693554915,0.09180144415234745,0.07819305495903713,0.13534886463399307,0.11049890341520384,-0.20356071639211043,0.07323881689806867
85:-0.24747662324648573,26.513741318617875,-0.2626297767861536,-0.27282338297137515,-0.23737911771492093,-1.3343947863497374,-0.21944840828045287,-0.3457460520483857,-0.2230909396518475
86:-0.6492172993020807,6.016863382847345,-0.6421991749190912,-0.6479533036040909,-0.6445663496826175,-0.6453942104223552,-0.6439728130839546,-0.6666817041597162,-0.6419469214820899
87:-1.923461855523731,-1.470673805951586,-1.922643099183451,-1.9223972612001128,-1.9233989461523289,-2.2528043508767444,-1.9223405282640915,-1.923219551583275,-1.9225403083500563
88:-1.781114189388617,-1.78128851710872,-1.781362595982999,-1.7789863099375267,-1.780206937678108,-1.7821057371189046,-1.7792959005199365,-1.780456163047097,-1.782037619862819
89:-2.111221548911926,-2.1094802385146476,-2.1095101272245684,-2.1082138581498127,-2.1096727725685813,-2.1070972421740284,-2.1084832391966017,-2.109676792217466,-2.1081444013855823
90:0,0,0,0,0,0,0,0,0
91:0,0,0,0,0,0,0,0,0
92:0,0,0,0,0,0,0,0,0
93:-1.13444613893345,-0.9742415607678429,-1.1340260587565052,-1.1346672053939302,-1.13477827890385,-1.1343158236163056,-1.1342174232113231,-1.418732677841093,-1.134591919396737
94:0,0,0,0,0,0,0,0,0
95:0,0,0,0,0,0,0,0,0
96:0,0,0,0,0,0,0,0,0
97:-2.079692304808138,-2.0798867358849167,-2.079667711753862,-2.0806096034812236,-2.0813812315971023,-2.0809370345734606,-2.082874220239294,-2.082920335535047,-2.0799956708499594
98:0,0,0,0,0,0,0,0,0
99:0,0,0,0,0,0,0,0,0
100:0,0,0,0,0,0,0,0,0
101:0,0,0,0,0,0,0,0,0
102:0,0,0,0,0,0,0,0,0
103:0,0,0,0,0,0,0,0,0
104:-3.0280624669646254,-3.3326154599922226,-3.028855838640891,-3.029184287676889,-3.02963954495979,-3.0292217252560674,-3.0286810396873665,-3.3399376997114745,-3.0283538586586993
105:0,0,0,0,0,0,0,0,0
106:0,0,0,0,0,0,0,0,0
107:0,0,0,0,0,0,0,0,0
108:0,0,0,0,0,0,0,0,0
109:0,0,0,0,0,0,0,0,0
110:0,0,0,0,0,0,0,0,0
111:0,0,0,0,0,0,0,0,0
112:0,0,0,0,0,0,0,0,0
113:0,0,0,0,0,0,0,0,0
114:0,0,0,0,0,0,0,0,0
115:-3.3981017507551243,-3.397295237085358,-3.3990920216048655,-3.3992628937565605,-3.4003104240766278,-3.3976677152912713,-3.398771917152814,-3.403639192373128,-3.398744517188736
116:0,0,0,0,0,0,0,0,0
117:0,0,0,0,0,0,0,0,0
118:0,0,0,0,0,0,0,0,0
119:0,0,0,0,0,0,0,0,0
120:0,0,0,0,0,0,0,0,0
121:0,0,0,0,0,0,0,0,0
122:0,0,0,0,0,0,0,0,0
123:0,0,0,0,0,0,0,0,0
124:0,0,0,0,0,0,0,0,0
125:0,0,0,0,0,0,0,0,0
126:0,0,0,0,0,0,0,0,0
127:0,0,0,0,0,0,0,0,0
128:0,0,0,0,0,0,0,0,0
129:0,0,0,0,0,0,0,0,0
130:0,0,0,0,0,0,0,0,0
